,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
311,9998598,HY188837,03/17/2015 11:38:00 PM,084XX S SAGINAW AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENTIAL YARD (FRONT/BACK),True,False,423,4,7,46,18,1195299.0,1849468.0,2015,02/10/2018 03:50:01 PM,41.741845790999996,-87.560003862,"(41.741845791, -87.560003862)"
312,9998599,HY188781,03/17/2015 10:37:00 PM,031XX W MONTROSE AVE,051B,ASSAULT,AGGRAVATED: OTHER FIREARM,BAR OR TAVERN,True,False,1724,17,33,14,04A,1154451.0,1929069.0,2015,02/10/2018 03:50:01 PM,41.961190008,-87.707544735,"(41.961190008, -87.707544735)"
313,9998600,HY187441,03/16/2015 10:25:00 PM,026XX W BELDEN AVE,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,False,False,1431,14,1,22,08A,1158109.0,1915171.0,2015,02/10/2018 03:50:01 PM,41.922978897,-87.69447675299999,"(41.922978897, -87.694476753)"
314,9998601,HY188789,03/17/2015 11:16:00 PM,052XX S WINCHESTER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,932,9,16,61,08B,1164244.0,1869852.0,2015,02/10/2018 03:50:01 PM,41.798491745,-87.67321500799999,"(41.798491745, -87.673215008)"
315,9998602,HY188841,03/18/2015 12:54:00 AM,012XX N SPRINGFIELD AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,True,False,2535,25,27,23,26,1150152.0,1908079.0,2015,02/10/2018 03:50:01 PM,41.903676728,-87.723898811,"(41.903676728, -87.723898811)"
316,9999191,HY189081,03/18/2015 09:35:00 AM,040XX W CHICAGO AVE,0460,BATTERY,SIMPLE,STREET,False,False,1111,11,28,23,08B,1149495.0,1905045.0,2015,02/10/2018 03:50:01 PM,41.895363905,-87.726390989,"(41.895363905, -87.726390989)"
317,9998604,HY188838,03/18/2015 12:41:00 AM,024XX W 71ST ST,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,False,False,832,8,17,66,05,1161424.0,1857512.0,2015,02/10/2018 03:50:01 PM,41.764688064,-87.683898342,"(41.764688064, -87.683898342)"
318,9998605,HY188814,03/17/2015 11:30:00 PM,023XX N KEDZIE BLVD,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,False,False,1413,14,26,22,11,1154646.0,1915470.0,2015,02/10/2018 03:50:01 PM,41.923869468,-87.707193016,"(41.923869468, -87.707193016)"
319,9998606,HY188827,03/18/2015 12:01:00 AM,059XX S SANGAMON ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE PORCH/HALLWAY,False,False,712,7,16,68,04B,1170991.0,1865453.0,2015,02/10/2018 03:50:01 PM,41.786275553,-87.648600909,"(41.786275553, -87.648600909)"
320,9998607,HY188833,03/18/2015 12:30:00 AM,071XX S VERNON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,323,3,6,69,14,1180480.0,1857823.0,2015,02/10/2018 03:50:01 PM,41.765125439,-87.61404369200001,"(41.765125439, -87.614043692)"
321,9998608,HY188828,03/18/2015 12:00:00 AM,057XX W GRAND AVE,2022,NARCOTICS,POSS: COCAINE,BAR OR TAVERN,True,False,2515,25,29,19,18,1137804.0,1913712.0,2015,02/10/2018 03:50:01 PM,41.919366106,-87.769120387,"(41.919366106, -87.769120387)"
322,9998610,HY188813,03/17/2015 03:15:00 PM,011XX W MONROE ST,0620,BURGLARY,UNLAWFUL ENTRY,CONSTRUCTION SITE,False,False,1232,12,2,28,05,1168902.0,1899722.0,2015,02/10/2018 03:50:01 PM,41.880358375,-87.655268425,"(41.880358375, -87.655268425)"
323,9998611,HY188795,03/17/2015 11:40:00 PM,066XX S MAPLEWOOD AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,SIDEWALK,True,False,832,8,15,66,04B,1160517.0,1860543.0,2015,02/10/2018 03:50:01 PM,41.773024309,-87.687139299,"(41.773024309, -87.687139299)"
324,9998612,HY188758,03/17/2015 10:30:00 PM,006XX S LAWNDALE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,1133,11,24,27,14,1151816.0,1896990.0,2015,02/10/2018 03:50:01 PM,41.873214765,-87.718078564,"(41.873214765, -87.718078564)"
325,9998613,HY188847,03/18/2015 01:32:00 AM,035XX W LEXINGTON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,1133,11,24,27,18,1152846.0,1896472.0,2015,02/10/2018 03:50:01 PM,41.871772995,-87.714310625,"(41.871772995, -87.714310625)"
326,9998614,HY188850,03/18/2015 01:20:00 AM,015XX W DIVISION ST,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,SIDEWALK,True,False,1213,12,1,24,18,1165679.0,1908077.0,2015,02/10/2018 03:50:01 PM,41.903354381,-87.666864606,"(41.903354381, -87.666864606)"
327,9998616,HY188742,03/17/2015 09:55:00 PM,009XX E 82ND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,False,631,6,8,44,08B,1184103.0,1850826.0,2015,02/10/2018 03:50:01 PM,41.74584106,-87.60098277700001,"(41.74584106, -87.600982777)"
328,9998617,HY188699,02/27/2015 01:07:00 PM,056XX S DR MARTIN LUTHER KING JR DR,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,231,2,20,40,11,1179885.0,1867762.0,2015,02/10/2018 03:50:01 PM,41.792412671,-87.615920606,"(41.792412671, -87.615920606)"
329,9998618,HY188851,03/18/2015 01:40:00 AM,076XX S HOYNE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,False,False,611,6,18,71,07,1163689.0,1853973.0,2015,02/10/2018 03:50:01 PM,41.754929317,-87.675695625,"(41.754929317, -87.675695625)"
